AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[config] task=pointbutton2
Loaded policy: ${CSC_WORKSPACE}/vlm-with-cpl/new_data/outputs/pointbutton2/bc_calfilt_csf_seed3_policy.pt
Ep 00: R= 21.81  C=119.00  len=1000
Ep 01: R=  4.06  C=  0.00  len=1000
Ep 02: R= -0.16  C=  0.00  len=1000
Ep 03: R=  0.17  C=  0.00  len=1000
Ep 04: R= -0.57  C= 40.00  len=1000
Ep 05: R= -1.25  C=  0.00  len=1000
Ep 06: R= -0.20  C=  0.00  len=1000
Ep 07: R=  0.19  C=  0.00  len=1000
Ep 08: R=  0.76  C= 41.00  len=1000
Ep 09: R=  2.79  C=  0.00  len=1000
Ep 10: R=  5.87  C= 36.00  len=1000
Ep 11: R=  2.14  C=  4.00  len=1000
Ep 12: R=  4.50  C= 43.00  len=1000
Ep 13: R= 21.82  C=100.00  len=1000
Ep 14: R= -2.06  C=  0.00  len=1000
Ep 15: R= 29.14  C= 81.00  len=1000
Ep 16: R=  3.28  C=  1.00  len=1000
Ep 17: R=  0.45  C=  0.00  len=1000
Ep 18: R= 12.02  C= 97.00  len=1000
Ep 19: R= -0.14  C=  0.00  len=1000
Ep 20: R= -2.68  C=  9.00  len=1000
Ep 21: R= 10.83  C=  2.00  len=1000
Ep 22: R=  2.15  C=  0.00  len=1000
Ep 23: R= -0.54  C=  0.00  len=1000
Ep 24: R= 18.13  C= 41.00  len=1000
Ep 25: R=  3.43  C= 10.00  len=1000
Ep 26: R= -2.79  C=  0.00  len=1000
Ep 27: R= -2.52  C=  0.00  len=1000
Ep 28: R= 11.43  C= 45.00  len=1000
Ep 29: R= 21.45  C= 29.00  len=1000
Ep 30: R= -1.43  C=  0.00  len=1000
Ep 31: R= -1.60  C=  0.00  len=1000
Ep 32: R=  0.50  C=  0.00  len=1000
Ep 33: R= -1.86  C=  0.00  len=1000
Ep 34: R=  0.72  C= 32.00  len=1000
Ep 35: R=  3.27  C= 53.00  len=1000
Ep 36: R= 31.99  C=  1.00  len=1000
Ep 37: R= -3.97  C= 23.00  len=1000
Ep 38: R= 12.80  C= 30.00  len=1000
Ep 39: R= -0.35  C=  0.00  len=1000
Ep 40: R= -1.75  C=  0.00  len=1000
Ep 41: R= -3.24  C=  0.00  len=1000
Ep 42: R= -2.55  C=  0.00  len=1000
Ep 43: R= -2.34  C=  0.00  len=1000
Ep 44: R= 25.08  C= 31.00  len=1000
Ep 45: R= -2.49  C=  0.00  len=1000
Ep 46: R=  7.80  C=  2.00  len=1000
Ep 47: R= -0.30  C=  3.00  len=1000
Ep 48: R= 10.55  C= 68.00  len=1000
Ep 49: R= -0.41  C= 24.00  len=1000
Ep 50: R=  8.94  C=  2.00  len=1000
Ep 51: R= 24.03  C=125.00  len=1000
Ep 52: R=  5.70  C= 82.00  len=1000
Ep 53: R=  1.58  C=  2.00  len=1000
Ep 54: R=  1.02  C=116.00  len=1000
Ep 55: R=  6.67  C= 55.00  len=1000
Ep 56: R=  3.99  C= 52.00  len=1000
